6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,2,9,2
6,7,5,8,3
6,6,6,6,6
6,6,6,6,6
6,6,2,9,9
9,6,9,2,2
9,9,3,9,6
9,3,9,6,2
8,3,7,5,7
5,7,7,5,5
7,8,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,2,3,2
2,3,3,6,9
9,3,9,9,9
2,9,9,9,9
2,3,9,6,2
7,5,3,7,5
8,8,7,5,8
7,5,8,7,3
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
9,6,3,2,9
3,9,6,6,2
5,3,7,8,5
7,5,8,7,5
3,5,5,5,7
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,9,9
2,5,7,5,3
3,3,7,7,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,2
2,9,2,2,2
2,9,2,2,9
3,6,6,2,9
6,3,7,5,3
7,5,7,3,8
8,7,3,5,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,3
2,2,2,6,6
9,6,2,9,3
5,8,5,7,7
7,3,7,5,8
5,8,5,7,7
7,7,5,8,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,9
3,9,6,2,3
6,9,3,2,7
5,3,7,7,5
5,7,7,7,5
5,3,7,5,7
5,7,7,8,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
9,6,3,2,2
9,9,6,6,9
6,2,2,9,5
5,5,5,8,5
5,7,5,3,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,9
9,2,2,3,2
2,9,2,3,2
9,9,9,9,2
9,2,9,2,2
3,9,9,9,3
9,9,9,6,9
9,9,6,6,6
2,2,2,3,5
5,8,5,7,5
7,3,5,8,8
8,5,5,3,7
5,7,7,5,5
7,8,8,3,7
5,5,5,8,8
7,5,5,7,7
7,3,5,7,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,2,3
6,2,9,6,3
9,9,9,3,5
7,7,8,5,5
5,5,7,7,5
7,5,8,8,3
5,7,7,5,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,3
6,9,2,2,9
6,9,2,9,9
3,5,7,7,3
3,5,7,5,8
5,8,7,3,5
5,5,7,7,5
6,6,6,6,6
6,6,6,6,2
2,2,8,3,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,9
2,9,2,2,6
9,9,2,2,6
2,9,9,9,6
6,9,3,9,7
7,7,7,5,7
7,7,5,8,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,2,2,3
9,3,2,6,9
9,9,2,9,3
2,9,9,3,2
7,7,8,5,8
7,5,3,8,8
7,5,5,5,8
7,5,7,3,7
5,3,5,5,3
3,7,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,9,9
9,6,2,9,9
6,9,5,5,3
7,5,3,3,5
3,5,7,5,5
3,3,8,5,7
8,3,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,9,3,9
2,9,9,6,2
9,9,6,9,2
2,9,8,3,5
8,3,3,8,8
5,8,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,9,2,2
2,3,2,6,9
6,9,6,2,3
2,2,9,2,9
3,3,7,8,7
7,7,3,5,7
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,9,9
2,3,2,2,2
9,9,2,9,6
8,8,5,5,3
5,7,8,7,8
3,5,5,7,7
3,3,5,8,5
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
2,2,2,6,9
9,3,9,9,6
5,3,3,8,7
7,7,5,8,7
7,5,8,7,5
3,5,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,9,9,3
3,3,2,3,2
9,9,3,2,7
3,8,8,5,8
8,5,5,5,5
5,3,5,3,5
8,7,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,3,6,6
9,9,2,9,9
9,2,6,3,3
5,5,5,8,7
3,7,3,5,7
7,7,8,3,7
8,5,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,2,3,2,2
3,9,6,2,2
2,2,5,8,5
7,7,5,7,5
5,5,5,3,5
7,8,3,3,5
7,3,3,8,5
7,7,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
